Laikotarpis,Regionas,Gyventojai,Gyventojai 0–6 m.,Gyventojai 7–17 m.,Gyventojai 18-59 m.,Gyventojai 60 m. +,Gyventojai 0–6 m. (%),Gyventojai 0–6 m. (st.),Gyventojai 7–17 m. (%),Gyventojai 7–17 m. (st.),Gyventojai 18-59 m. (%),Gyventojai 18-59 m. (st.),Gyventojai 60 m. + (%),Gyventojai 60 m. + (st.)
2022,Akmenės,20597,930,1987,10552,7128,4.51522066320338,-0.048847844866774216,9.647035976113026,-0.15373736492826837,51.23076176142156,-1.3609452238357904,34.60698159926203,1.159409885524078
2022,Alytaus,82090,3636,7873,44190,26391,4.429284931173102,-0.16155927407485438,9.590693141673773,-0.2047503414232768,53.831160920940434,-0.2668578403243429,32.14886100621269,0.3313405167581818
2022,Anykščių,24619,889,1940,13017,8773,3.611032129655957,-1.2347617770804638,7.880092611397702,-1.7535333501554091,52.8737966611154,-0.6696576006092769,35.63507859783094,1.5057458769487204
2022,Birštono,4425,196,395,2252,1582,4.429378531073446,-0.16143651048987892,8.926553672316384,-0.8060642702825722,50.89265536723164,-1.5031995153793178,35.75141242937853,1.5449353629032037
2022,Biržų,25141,1087,2194,13492,8368,4.3236148124577385,-0.30015389384023744,8.72678095541148,-0.9869391058005037,53.665327552603316,-0.33663028098934344,33.284276679527466,0.7138290498867922
2022,Druskininkų,21282,970,1984,11226,7102,4.557842308053754,0.007053773619379604,9.32243210224603,-0.44763471589699244,52.748801804341696,-0.7222477175147262,33.37092378535852,0.743017940958205
2022,Elektrėnų,25903,1321,2676,14584,7322,5.099795390495309,0.7178675997492439,10.33084970852797,0.465389702529756,56.30235880013898,0.772869623013101,28.266996100837744,-0.9763469217334905
2022,Ignalinos,15495,478,1147,8155,5715,3.08486608583414,-1.9248696681614827,7.402387867053889,-2.186048702591912,52.629880606647305,-0.7722824137471218,36.88286544046467,1.9260889903239415
2022,Jonavos,43564,2201,4754,23688,12921,5.0523367918464785,0.6556219383049713,10.912680194656138,0.9921808235007243,54.375172160499496,-0.037971505120282655,29.659810852997886,-0.5071481216866907
2022,Joniškio,22234,889,2030,11989,7326,3.9983808581451834,-0.7267236448798645,9.130161014662228,-0.6217175530350003,53.921921381667715,-0.2286714431937664,32.949536745524874,0.6010648972109431
2022,Jurbarko,27145,1092,2577,14768,8708,4.0228403020814145,-0.6946431724319635,9.493461042549272,-0.29278458458060896,54.40412599005342,-0.025789521633888254,32.0795726653159,0.3079992889634682
2022,Kaišiadorių,29746,1324,3100,16271,9051,4.451018624352854,-0.1330538367860129,10.421569286626774,0.547527489015827,54.699791568614266,0.09860829554656439,30.42762052040611,-0.2484953654220518
2022,Kalvarijos,10737,552,1208,6083,2894,5.1411008661637325,0.7720429594828093,11.250814938995996,1.2983290664286251,56.654559001583316,0.9210537183124283,26.95352519325696,-1.4188170871144115
2022,Kauno,418535,25396,46246,228459,118434,6.0678318420203805,1.9875230666796628,11.049494068596413,1.1160525279502256,54.585399070567576,0.05047899646449638,28.297275018815633,-0.9661468344929532
2022,Kazlų,11621,577,1188,6321,3535,4.965149298683418,0.5412687265348548,10.222872386197402,0.3676267010609174,54.39290938817658,-0.03050877504327594,30.419068926942604,-0.25137614865998176
2022,Kelmės,27513,1070,2510,14716,9217,3.889070621160906,-0.87009256426291,9.122960055246612,-0.6282373239529225,53.48744230000363,-0.4114734103103333,33.50052702358885,0.7866775042745325
2022,Klaipėdos,232942,14651,27349,127832,63110,6.289548471293284,2.278321755119792,11.74069081573954,1.7418641997690265,54.87717972714238,0.17324227837935477,27.0925809858248,-1.3719732330331726
2022,Kretingos,39922,2268,4471,21916,11267,5.681078102299484,1.480265308752452,11.199338710485447,1.2517223299874276,54.89704924602976,0.1816021449219782,28.22253394118531,-0.991324930778883
2022,Kupiškio,17425,707,1551,9259,5908,4.05738880918221,-0.6493301050927086,8.901004304160688,-0.8291967472010715,53.13629842180775,-0.5592130700179881,33.905308464849355,0.9230366045971615
2022,Kėdainių,49360,2195,5083,26611,15471,4.446920583468395,-0.13842873770473454,10.29781199351702,0.43547725321697794,53.912074554294975,-0.2328143800797035,31.343192868719612,0.05993434249027076
2022,Lazdijų,19579,714,1854,10776,6235,3.646764390418306,-1.1878961242930854,9.469329383523164,-0.31463346327008473,55.03856172429644,0.24114185693667625,31.845344501762092,0.22909462981467085
2022,Marijampolės,57937,2982,6232,31841,16882,5.146969984638487,0.7797407670868456,10.756511383054008,0.8507850986530103,54.957971589830336,0.20723450504721783,29.138547042477175,-0.6827467460011031
2022,Mažeikių,55836,2864,6374,30798,15800,5.129307256966832,0.7565747192444424,11.415574181531628,1.447502594002349,55.157962604771114,0.291378374061096,28.297155956730425,-0.9661869430482539
2022,Molėtų,18354,638,1527,10226,5963,3.4760815081181216,-1.411760064832165,8.319712324288982,-1.355500302942552,55.71537539500926,0.5259032542030759,32.48883077258363,0.4458664479245803
2022,Neringos,5254,125,325,3448,1356,2.379139703083365,-2.8504849780032986,6.185763228016749,-3.2875844121836093,65.62618956985155,4.695761835078636,25.808907499048345,-1.8044055135739185
2022,Pagėgių,8410,398,883,4674,2455,4.732461355529132,0.2360803024324367,10.499405469678953,0.6180006097954187,55.576694411414984,0.4675548602928388,29.19143876337693,-0.6649290628238632
2022,Pakruojo,19681,816,1828,10736,6301,4.146130786037295,-0.53293806646362,9.288145927544331,-0.47867752447360484,54.550073675118135,0.03561625151347258,32.01564961130024,0.28646547034691594
